# BOBMOE0 stage=1 arm=moe deterministic metrics log
# arm_seed=28271 perm_seed=28371 param_total=17118720
step	lr	ce	aux	loss	gradnorm
204	2.57413859300372957e-03	2.00150775909423828e+00	1.15733659267425537e+00	2.01308107376098633e+00	6.81802153587341309e-01
205	2.56638100646947162e-03	1.90768814086914062e+00	1.16276013851165771e+00	1.91931569576263428e+00	5.62989056110382080e-01
206	2.55856689323819388e-03	2.01468801498413086e+00	1.15143549442291260e+00	2.02620244026184082e+00	6.43147110939025879e-01
207	2.55069673532120960e-03	1.90200972557067871e+00	1.19131982326507568e+00	1.91392290592193604e+00	5.95893681049346924e-01
208	2.54277101818692992e-03	1.98739957809448242e+00	1.17293000221252441e+00	1.99912881851196289e+00	6.37417614459991455e-01
209	2.53479023073092165e-03	1.90250742435455322e+00	1.15997290611267090e+00	1.91410720348358154e+00	5.26329815387725830e-01
210	2.52675486524574786e-03	1.92945003509521484e+00	1.18859636783599854e+00	1.94133603572845459e+00	6.67529523372650146e-01
211	2.51866541739060147e-03	1.79124701023101807e+00	1.17607617378234863e+00	1.80300772190093994e+00	6.58939957618713379e-01
212	2.51052238616073127e-03	1.91128349304199219e+00	1.14841341972351074e+00	1.92276763916015625e+00	5.37369370460510254e-01
213	2.50232627385666003e-03	1.95258605480194092e+00	1.15555667877197266e+00	1.96414160728454590e+00	6.15246951580047607e-01
214	2.49407758605320242e-03	1.96041882038116455e+00	1.16721117496490479e+00	1.97209095954895020e+00	5.55106103420257568e-01
215	2.48577683156827635e-03	1.85589671134948730e+00	1.17381894588470459e+00	1.86763489246368408e+00	5.88383316993713379e-01
216	2.47742452243151839e-03	1.96515309810638428e+00	1.18717622756958008e+00	1.97702491283416748e+00	5.34106433391571045e-01
217	2.46902117385269923e-03	1.95874559879302979e+00	1.18284797668457031e+00	1.97057402133941650e+00	5.46192526817321777e-01
218	2.46056730418994351e-03	1.85459506511688232e+00	1.16377508640289307e+00	1.86623287200927734e+00	5.13705909252166748e-01
219	2.45206343491775197e-03	1.94023835659027100e+00	1.17079889774322510e+00	1.95194637775421143e+00	6.17373406887054443e-01
